Class: Racer

Rank,Car_ID,Year,Make,Model,Score
30,137,2017,Ford,Focus rs,0
31,138,1990,Mazda,Miata,0
32,140,1995,Mitsu,Evo8,0
33,159,2013,Hyundai,Gen coupe,0
34,172,2014,Bmw,4,0
35,174,2006,Acura,Rsx,0
36,184,2010,Volkswagen,Cc,0
37,185,2013,Volkswagen,Jett,0
38,186,2012,Volkswagen,Gli,0
39,190,1995,Lexus,Sc300,0
40,197,2010,Audi,A4,0
41,207,1993,Honda,Civic eG,0
42,211,2004,Acura,Tsx,0
43,212,2001,Lexus,Is300,0
44,219,2016,Ford,Focus rs,0
45,226,2008,Honda,Accord,0
46,232,2018,Subaru,WRX,0
47,237,1987,Volkswagen,Jetta,0
48,243,2008,Toyota,Matrix,0
49,2,2016,Bmw,M2,2
50,10,2001,Nissan,S15,2
51,11,1991,Nissan,Skyline,2
52,14,1990,Nissan,Skyline,2
53,17,2016,Mercedes,C43,2
54,18,2015,Audi,S3,2
55,19,2001,Mitsu,Evo7,2
56,20,2009,Infiniti,G37,2
57,22,2007,Honda,Civic,2
58,24,2013,Subaru,BRZ,2
59,41,2012,Acura,Tsx,2
60,44,2018,Honda,Civic si,2
61,45,2006,Acura,TL,2
62,51,2015,Subaru,WRX,2
63,52,2007,Mazda,Speed 3,2
64,56,2009,Volkswagen,Jetta,2
65,67,2015,Subaru,Sti,2
66,68,2013,Nissan,Altima,2
67,74,2015,Honda,Accord,2
68,79,1993,Mazda,Miata,2
69,84,2012,Mercedes,Cl63amg,2
70,89,2014,Honda,Civic si,2
71,94,2004,Volkswagen,Gti,2
72,96,2017,Volkswagen,Gti,2
73,98,2012,Mercedes,C63,2
74,102,2015,Honda,Accord,2
